title,release,synopsis,seasons,episodes,genres,img_path
The Staircase,2022,"An exploration of the life of Michael Peterson, his sprawling North Carolina family, and the suspicious death of his wife, Kathleen Peterson.",1,8,"Drama, Crime",https://image.tmdb.org/t/p/w600_and_h900_bestv2/jiAcdCyf1UbWYBImcNtVeLW0pRj.jpg
My Hero Academia,2016,"In a world where eighty percent of the population has some kind of super-powered Quirk, Izuku was unlucky enough to be born completely normal. But that won't stop him from enrolling in a prestigious hero academy. Now, he'll get his first taste of brutal rivalry from other schools as he braves the cutthroat, no-holds-barred provisional license exam.",5,25,"Action & Adventure, Animation",https://image.tmdb.org/t/p/w600_and_h900_bestv2/phuYuzqWW9ru8EA3HVjE9W2Rr3M.jpg
Winning Time: The Rise of the Lakers Dynasty,2022,"A fast-break series chronicling the professional and personal lives of the 1980s Los Angeles Lakers, one of sports’ most revered and dominant dynasties — a team that defined an era, both on and off the court.",1,10,"Drama, Comedy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/npyfYUOoHWVZJyqI1jscbT6taCt.jpg
Buffy the Vampire Slayer,1997,"Into every generation a slayer is born: one girl in all the world, a chosen one. She alone will wield the strength and skill to fight the vampires, demons, and the forces of darkness; to stop the spread of their evil and the swell of their number. She is the Slayer.",7,22,"Sci-Fi & Fantasy, Comedy, Drama, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/y7fVZkyheCEQHDUEHwNmYENGfT2.jpg
Case Closed,1996,"The son of a world famous mystery writer, Jimmy Kudo, has achieved his own notoriety by assisting the local police as a student detective. He has always been able to solve the most difficult of criminal cases using his wits and power of reason.",1,1058,"Animation, Comedy, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/9ve6LW4ltMMpp9WjoR4MGViOp9V.jpg
Scenes from a Marriage,2021,"A chronicle of the many years of love and turmoil that bind a contemporary American couple, tracking their relationship as it progresses through a number of successive stages: matrimony, parenthood, infidelity, divorce and subsequent partnerships.",1,5,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/wlsivaJuU6HScCFKcgv1cgtdmQt.jpg
Ecomoda,2001,We don't have an overview translated in English. Help us expand our database by adding one.,1,35,"Comedy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/yMwHYtRmbE91pFjorzgfgS6JpKn.jpg
The Beauty Inside,2018,"It is a love story of Han Se-gye who is an A-list actress. She is known as a troublemaker and the object of many rumors. Her life is a mystery, but, in reality, she suffers from an unusual phenomenon. At a certain point every month, her appearance changes to a different person. She lives one week out of every month with a different appearance, and Seo Do-jae who is an executive director of an airline company. He seems perfect with an attractive appearance and intelligence but, he suffers from prosopagnosia. He hides this disability and tries hard to memorize people by their habits and mannerisms. The only face that he is able to recognize is Han Se-gye’s.",1,16,"Drama, Comedy, Family",https://image.tmdb.org/t/p/w600_and_h900_bestv2/u3UGsVYD0nxsucvN7NHLzXP0FHu.jpg
Star Trek: Deep Space Nine,1993,"At Deep Space Nine, a space station located next to a wormhole in the vicinity of the liberated planet of Bajor, Commander Sisko and crew welcome alien visitors, root out evildoers and solve all types of unexpected problems that come their way.",7,26,"Sci-Fi & Fantasy, Action & Adventure, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/37gPCTyiQOLa9vJeKrpX4HqRq6P.jpg
arte Regards,2017,We don't have an overview translated in English. Help us expand our database by adding one.,6,87,Documentary,https://image.tmdb.org/t/p/w600_and_h900_bestv2/19ChTJxvw9jZpMnWKsuXc83eI5C.jpg
