title,release,synopsis,seasons,episodes,genres,img_path
Aoashi,2022,"Ashito Aoi is a young, aspiring soccer player from a backwater town in Japan. His hopes of getting into a high school with a good soccer club are dashed when he causes an incident during a critical match for his team, which results in their loss and elimination from the tournament. Nevertheless, he catches the eye of someone important who happened to be visiting from Tokyo. How will things turn out for Ashito?",1,12,"Animation, Drama, Comedy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/816lq5Nups2PkiucWKrnH4edLsl.jpg
Halo 4: Forward Unto Dawn,2012,"A coming-of-age story, Forward Unto Dawn follows a cadet, Thomas Lasky, at a twenty-sixth century military training academy as it is attacked by the Covenant, an alliance of alien zealots. Lasky is unsure of his future within the military but feels pressured to follow in the footsteps of his mother and brother. Lasky and his surviving squad mates are rescued by the Master Chief and, after the death of his romantic interest, Chyler Silva, Lasky is inspired by the Chief to take initiative and aids him in saving the remaining cadets.",1,5,"Sci-Fi & Fantasy, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/Am1yFF4Ye0eJ8fd6mK7HAvHt3FE.jpg
9-1-2001,2018,"Explore the high-pressure experiences of police officers, paramedics and firefighters who are thrust into the most frightening, shocking and heart-stopping situations. These emergency responders must try to balance saving those who are at their most vulnerable with solving the problems in their own lives.",5,18,"Drama, Crime, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/yD8iS1Hbq76XmWzbaFbWH66SFH6.jpg
Pokémon,1997,"Join Ash accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.",1,64,"Animation, Action & Adventure, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/rOuGm07PxBhEsK9TaGPRQVJQm1X.jpg
Fighting Spirit,2000,"Makunouchi Ippo is an ordinary high school student in Japan. Since he spends most of his time away from school helping his mother run the family business, he doesn't get to enjoy his younger years like most teenagers. Always a target for bullying at school (the family fishing business grants him a distinct odor), Ippo's life is one of hardship. One of these after-school bullying sessions turns Ippo's life around for the better, as he is saved by a boxer named Takamura. He decides to follow in Takamura's footsteps and train to become a boxer, giving his life direction and purpose. Ippo's path to perfecting his pugilistic prowess is just beginning...",2,25,"Animation, Comedy, Drama, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/i3U3J2MWovIBZBnZYYiOLBXqNJZ.jpg
Teresa,2010,"Teresa Chavez is a young woman with an obsession for money and ambition. Despite her beauty and the fact that she was raised in the bosom of a loving family, she is resentful; her one desire is to leave her humble but poor neighbourhood.",1,151,"Soap, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/17QQBTahkRE23bxJ4PmQ7tjMjyX.jpg
The Cartel,2008,"The Cartel follows ten friends, all of them members of a dangerous drug cartel, whose ambition for power and money will cause them to eventually kill each other. For it is an undeniable truth that, in this business, you always lose.",2,50,"Action & Adventure, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/cSvzG2B2uafu5BoP5nt0OvrVrQG.jpg
The Mandalorian,2019,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",2,8,"Sci-Fi & Fantasy, Action & Adventure, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/sWgBv7LV2PRoQgkxwlibdGXKz1S.jpg
A Business Proposal,2022,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,1,12,"Comedy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/iLh7L8ZuvgdxFaM9sImyv2iKYLe.jpg
Dark Desire,2020,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.",2,15,"Mystery, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/uxFNAo2A6ZRcgNASLk02hJUbybn.jpg
The Greatest Demon Lord Is Reborn as a Typical Nobody,2022,"In his past life, he was known as Demon Lord Varvatos, an all-powerful magic user and ruler. But he was lonely after the loss of his friends and loved ones during his rise to power, so in his dying moments, Varvatos cast a reincarnation spell so that he'd get a second chance at just being a normal guy. At first it looks like that's going to work – he's reborn thousands of years later as villager Ard. Unfortunately for him, his memories are still intact and he's not aware just how much has been lost over the time he spent not existing, and it looks like that's going to cost him his normal life.",1,12,"Animation, Action & Adventure, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/dtULGP3qRi932NzYGsp7u6q6zAS.jpg
How I Met Your Mother,2005,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,9,24,Comedy,https://image.tmdb.org/t/p/w600_and_h900_bestv2/dvxSvr6OmYGvvt8Z1VdBlPfL1Lf.jpg
The Last Kingdom,2015,"A show of heroic deeds and epic battles with a thematic depth that embraces politics, religion, warfare, courage, love, loyalty and our universal search for identity. Combining real historical figures and events with fictional characters, it is the story of how a people combined their strength under one of the most iconic kings of history in order to reclaim their land for themselves and build a place they call home.",5,10,"Action & Adventure, Drama, War & Politics",https://image.tmdb.org/t/p/w600_and_h900_bestv2/8eJf0hxgIhE6QSxbtuNCekTddy1.jpg
Café con aroma de mujer,2021,We don't have an overview translated in English. Help us expand our database by adding one.,1,92,Soap,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ztyJqTdS7RApGgl6ZXmFdGZX3g0.jpg
Lombard. Życie pod zastaw,2017,We don't have an overview translated in English. Help us expand our database by adding one.,10,49,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/s1RtVpXSTaoRKTvCLEPlGpokcv9.jpg
9-1-1: Lone Star,2020,"Nearly 20 years ago, Owen Strand was the lone survivor of his Manhattan firehouse on 9/11. In the wake of the attack, Owen had the unenviable task of rebuilding his station. After a similar tragedy happens to a firehouse in Austin, Owen, along with his troubled firefighter son, T.K., takes his progressive philosophies of life and firefighting down to Texas, where he helps them start anew. On the surface, Owen is all about big-city style and swagger, but underneath he struggles with a secret he hides from the world - one that could very well end his life.",3,18,"Drama, Action & Adventure, Crime",https://image.tmdb.org/t/p/w600_and_h900_bestv2/mrzE6bXc8g9NQd8IBKB25louWq8.jpg
Si nos dejan,2021,We don't have an overview translated in English. Help us expand our database by adding one.,1,84,"Drama, Family",https://image.tmdb.org/t/p/w600_and_h900_bestv2/WSVadXbkEc2K6c0WIiodzwrDsx.jpg
Bleach,2004,"For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever. Now, with a newfound wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil.",1,366,"Action & Adventure, Animation, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/5iVUUnE2tgBPypACYNobCKHagfV.jpg
Juvenile Justice,2022,A tough judge balances her aversion to minor offenders with firm beliefs on justice and punishment as she tackles complex cases inside a juvenile court.,1,10,"Drama, Crime",https://image.tmdb.org/t/p/w600_and_h900_bestv2/xH2wTVlsUlYeFEOVGFDaamHkMCm.jpg
Adventure Time,2010,"Hook up with Finn and Jake as they travel the Land of Ooo searching for adventure. But remember, adventure isn’t always easy. Sometimes you’ve got to battle fire gnomes that torture old ladies, save a smelly hot dog princess from the Ice King, and thaw out a bunch of frozen businessmen. What the cabbage?!",10,13,"Animation, Comedy, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/qk3eQ8jW4opJ48gFWYUXWaMT4l.jpg
Al-Kabir Awy,2010,"Al-Kabeer Away is an Egyptian comedy television series starring Ahmed Makki, Donia Samir Ghanem, Hisham Ismail and Mohamed Shaheen , directed by Islam Khairi, Ahmed El Gendy and Hisham Fathy . The events of the series revolve around the mayor of the village of ""Mazarita"", who married an American woman and had two twin sons with her. One of them was raised in Upper Egypt, the other in America, and comic situations and paradoxes occur between the two brothers when they meet and compete for the vertical to succeed their father. Makki embodies the three roles, the father and the twins (The Elder and Johnny). The two brothers agree to hold a mayoral election, and each tries to win over the villagers, but in the end Johnny wins the election by landslide.",6,30,"Comedy, Family, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/oj4XM6wpGRIcx3QoQx1PF1fx5E5.jpg
CSI: Crime Scene Investigation,2000,"A Las Vegas team of forensic investigators are trained to solve criminal cases by scouring the crime scene, collecting irrefutable evidence and finding the missing pieces that solve the mystery.",15,18,"Crime, Drama, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/9XecVOLLkbGBNnpF2PvP8vQBmww.jpg
My Dress-Up Darling,2022,"Wakana Gojo is a high school boy who wants to become a kashirashi--a master craftsman who makes traditional Japanese Hina dolls. Though he's gung-ho about the craft, he knows nothing about the latest trends, and has a hard time fitting in with his class. The popular kids--especially one girl, Marin Kitagawa--seem like they live in a completely different world. That all changes one day, when she shares an unexpected secret with him, and their completely different worlds collide.",1,12,"Animation, Comedy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/A6mxBwvvv63JXZm3xXKv4SugE0L.jpg
El juego de las llaves,2019,"A casual encounter between Adriana and Sergio, two former high school friends, triggers the beginning of the game of the keys where four couples generate new sexual and emotional combinations in a dangerous and lustful game.",2,8,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/l7uSczzJriYhfSEHsME92AnlNtv.jpg
Arrow,2012,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",8,10,"Crime, Drama, Mystery, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/gKG5QGz5Ngf8fgWpBsWtlg5L2SF.jpg
How I Met Your Father,2022,"In the near future, Sophie tells her son the story of how she met his father: a story that catapults us back to the year 2021 where Sophie and her close-knit group of friends are in the midst of figuring out who they are, what they want out of life, and how to fall in love in the age of dating apps and limitless options.",1,10,Comedy,https://image.tmdb.org/t/p/w600_and_h900_bestv2/8psLGtFzTMYCXxUNMpMOCB6doPn.jpg
Pretty Little Liars,2010,"Based on the Pretty Little Liars series of young adult novels by Sara Shepard, the series follows the lives of four girls — Spencer, Hanna, Aria, and Emily — whose clique falls apart after the disappearance of their queen bee, Alison. One year later, they begin receiving messages from someone using the name ""A"" who threatens to expose their secrets — including long-hidden ones they thought only Alison knew.",7,20,"Drama, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/aUPbHiLS3hCHKjtLsncFa9g0viV.jpg
Hawaii Five-0,2010,"Steve McGarrett returns home to Oahu, in order to find his father's killer. The governor offers him the chance to run his own task force (Five-0). Steve's team is joined by Chin Ho Kelly, Danny ""Danno"" Williams, and Kono Kalakaua.",10,22,"Crime, Drama, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/sIdCKlmM2nU4akIvFQaAIiU8YES.jpg
Inventing Anna,2022,"A journalist with a lot to prove investigates the case of Anna Delvey, the Instagram-legendary German heiress who stole the hearts of New York’s social scene – and stole their money as well.",1,9,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/jzCnl9wACp0eUMa3IG5e0aSJIXD.jpg
Star Trek: Picard,2020,"Set twenty years after the events of Star Trek Nemesis, we follow the now-retired Admiral Picard into the next chapter of his life.",2,10,"Sci-Fi & Fantasy, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/qGrHmHbMvodVTyxRDIxljyg4f4T.jpg
El Chavo: The Animated Series,2006,"El Chavo Animado is a Mexican animated series based on a live-action TV series of the same name, created by Roberto Gómez Bolaños.",1,26,Comedy,https://image.tmdb.org/t/p/w600_and_h900_bestv2/fIQpvawxgajLhjZfN7XS0stzesJ.jpg
The Silent Sea,2021,"During a perilous 24-hour mission on the moon, space explorers try to retrieve samples from an abandoned research facility steeped in classified secrets.",1,8,"Drama, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/fFT0IgqtCOks4munDTxQwkvNJkd.jpg
Anne with an E,2017,"A coming-of-age story about an outsider who, against all odds and numerous challenges, fights for love and acceptance and for her place in the world. The series centers on a young orphaned girl in the late 1890’s, who, after an abusive childhood spent in orphanages and the homes of strangers, is mistakenly sent to live with an elderly woman and her aging brother. Over time, 13-year-old Anne will transform their lives and eventually the small town in which they live with her unique spirit, fierce intellect and brilliant imagination.",3,10,"Drama, Family",https://image.tmdb.org/t/p/w600_and_h900_bestv2/6P6tXhjT5tK3qOXzxF9OMLlG7iz.jpg
NCIS: Los Angeles,2009,"The exploits of the Los Angeles–based Office of Special Projects (OSP), an elite division of the Naval Criminal Investigative Service that specializes in undercover assignments.",13,22,"Action & Adventure, Drama, Crime, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/TIIgcznwNfNr3KOZvxn26eKV99.jpg
The Office,2005,"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.",9,23,Comedy,https://image.tmdb.org/t/p/w600_and_h900_bestv2/qWnJzyZhyy74gjpSjIXWmuk0ifX.jpg
Doctor Who,2005,"The Doctor is a Time Lord: a 900 year old alien with 2 hearts, part of a gifted civilization who mastered time travel. The Doctor saves planets for a living—more of a hobby actually, and the Doctor's very, very good at it.",14,6,"Action & Adventure, Drama, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/sz4zF5z9zyFh8Z6g5IQPNq91cI7.jpg
Stargate SG-1,1997,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.",10,20,"Sci-Fi & Fantasy, Action & Adventure, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/9Jegw0yle4x8jlmLNZon37Os27h.jpg
Harry Potter: Hogwarts Tournament of Houses,2021,Wizarding World fans put their Harry Potter knowledge to the test for the ultimate honor to be named House Cup champion.,1,4,"Reality, Family",https://image.tmdb.org/t/p/w600_and_h900_bestv2/tEHHfzqHnfNJUp4L30wQeYl2xRo.jpg
Shikimori's Not Just a Cutie,2022,"Shikimori seems like the perfect girlfriend: cute, fun to be around, sweet when she wants to be… but she has a cool dark side that comes out under the right circumstances. And her boyfriend Izumi loves to be around when that happens!",1,12,"Animation, Comedy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/i6WK5JY3ziYdCARgG2l1ragQ5fI.jpg
Without Breasts There Is No Paradise,2008,"Sin Senos no hay Paraíso is a RTI Colombia–Telemundo remake and loose adaptation of the original Colombian series Sin Tetas No Hay Paraíso. The series is based on investigative journalist Gustavo Bolivar's debut novel and features an attractive young prostitute who desires to have massive breast implants in order to attract a rich cocaine smuggler. It is also based on a true story. The series premiered on June 16, 2008;",1,169,"Action & Adventure, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/pSsQ5rFalyT7ehwgeSlITgBSi5S.jpg
Rebelde Way,2002,"Rebelde Way is a Martín Fierro Award—nominated Argentine soap opera created and produced by Cris Morena. It originally aired from 26 May 2002 to 18 December 2003. The series was broadcast in many countries worldwide, including Peru, Germany, Israel, Spain and Uruguay, achieving widespread success. In addition, numerous remakes of Rebelde Way have been made, most notably Rebelde by Mexican Televisa. In 2009, Jennifer Lopez bought the rights for an U.S. adaptation.",2,179,"Soap, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/wu4Vi93RxaE1kkFM5ClmcVzkIby.jpg
Naomi,2022,"Follow a teen girl’s journey from her small northwestern town to the heights of the multiverse. When a supernatural event shakes her hometown to the core, Naomi sets out to uncover its origins, and what she discovers will challenge everything we believe about our heroes",1,13,"Drama, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/xwS6ggTI8hTkVTz1I4U6BZ48pgZ.jpg
The Umbrella Academy,2019,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",3,10,"Action & Adventure, Sci-Fi & Fantasy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/scZlQQYnDVlnpxFTxaIv2g0BWnL.jpg
Attack on Titan,2013,"Several hundred years ago, humans were nearly exterminated by Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest Titans. Flash forward to the present and the city has not seen a Titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a Colossal Titan that appears out of thin air. As the smaller Titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single Titan and take revenge for all of mankind.",5,28,"Sci-Fi & Fantasy, Animation, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/aiy35Evcofzl7hASZZvsFgltHTX.jpg
American Dad!,2005,"The series focuses on an eccentric motley crew that is the Smith family and their three housemates: Father, husband, and breadwinner Stan Smith; his better half housewife, Francine Smith; their college-aged daughter, Hayley Smith; and their high-school-aged son, Steve Smith. Outside of the Smith family, there are three additional main characters, including Hayley's boyfriend turned husband, Jeff Fischer; the family's man-in-a-goldfish-body pet, Klaus; and most notably the family's zany alien, Roger, who is ""full of masquerades, brazenness, and shocking antics.""",19,9,"Animation, Comedy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/b2XLAyJKLnZWClMmzNieoa33Sf6.jpg
CSI: Miami,2002,"CSI: Miami follows Crime Scene Investigators working for the Miami-Dade Police Department as they use physical evidence, similar to their Las Vegas counterparts, to solve grisly murders. The series mixes deduction, gritty subject matter, and character-driven drama in the same vein as the original series in the CSI franchise, except that the Miami CSIs are cops first, scientists second.",10,19,"Drama, Mystery, Crime",https://image.tmdb.org/t/p/w600_and_h900_bestv2/m4xM1n2aO98y8GEu9CS3w2SvGKH.jpg
Futurama,1999,"The adventures of a late-20th-century New York City pizza delivery boy, Philip J. Fry, who, after being unwittingly cryogenically frozen for one thousand years, finds employment at Planet Express, an interplanetary delivery company in the retro-futuristic 31st century.",7,26,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/k5e8kAq9jpaSmgvFM10su5LXGFR.jpg
Young Hearts,1995,"Malhação is a Brazilian television series for the teenage audience. The soap started in 1995, and was set in a fictional Gym Club called Malhação on Barra da Tijuca, Rio de Janeiro. Through the years the location varied slightly. Although the name of the soap remains the same, it is now set in the Múltipla Escolha High School.",27,253,Soap,https://image.tmdb.org/t/p/w600_and_h900_bestv2/hTDsUXq3jHWdTBlKpnjb6XLADfm.jpg
SEAL Team,2017,"The lives of the elite Navy Seals as they train, plan and execute the most dangerous, high-stakes missions our country can ask.",5,14,"Action & Adventure, Drama, War & Politics",https://image.tmdb.org/t/p/w600_and_h900_bestv2/6iSnec83UEMgLOXAtGYwaVNHLjR.jpg
Malcolm in the Middle,2000,"A gifted young teen tries to survive life with his dimwitted, dysfunctional family.",7,22,"Family, Comedy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/ckLLIsNy3Z0Go1PYHA2PHzVymUA.jpg
MasterChef Australia,2009,"MasterChef Australia is a Logie Award-winning Australian competitive cooking game show based on the original British MasterChef. It is produced by Shine Australia and screens on Network Ten. Restaurateur and chef Gary Mehigan, chef George Calombaris and food critic Matt Preston serve as the show's main judges. Journalist Sarah Wilson hosted the first series, however her role was dropped at the end of the series.",14,19,Reality,https://image.tmdb.org/t/p/w600_and_h900_bestv2/m5akdtbWznF8KpOewKyKw0C36s1.jpg
Demon Slayer: Kimetsu no Yaiba,2019,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",4,11,"Animation, Sci-Fi & Fantasy, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/wrCVHdkBlBWdJUZPvnJWcBRuhSY.jpg
Grimm,2011,"After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms,"" he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.",6,13,"Drama, Mystery, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/iOptnt1QHi6bIHmOq6adnZTV0bU.jpg
Carita de Ángel,2000,"Carita de Angel is a child telenovela produced in Mexico by Televisa in 2000 produced by Nicandro Díaz. It is a remake of the telenovela Papa Corazon, which also was adapted for Mundo de juguete. It starred Lisette Morelos, Miguel de León and Daniela Aedo as Dulce Maria. In 2001 it was broadcast in the United States by the Spanish-language broadcaster Univision. Among the great figures of his cast were Mexicans Joaquín Cordero and Ana Luisa Peluffo and Argentine Libertad Lamarque, who died during the filming of this soap opera and was replaced by actress Silvia Pinal.",1,175,"Soap, Drama, Kids",https://image.tmdb.org/t/p/w600_and_h900_bestv2/nHONjyGEOlOO2X6Xy9giIjGLCQZ.jpg
Gotham,2014,"Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?",5,12,"Drama, Crime, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/4XddcRDtnNjYmLRMYpbrhFxsbuq.jpg
Tokyo Revengers,2021,"Takemichi Hanagaki is a freelancer that’s reached the absolute pits of despair in his life. He finds out that the only girlfriend he ever had, in middle school, Hinata Tachibana, had been killed by the ruthless Tokyo Manji Gang. The day after hearing about her death, he’s standing on the station platform and ends up being pushed over onto the tracks by a herd of people. He closes his eyes thinking he’s about to die, but when he opens his eyes back up, he somehow had gone back in time 12 years. Now that he’s back living the best days of his life, Takemichi decides to get revenge on his life.",1,24,"Drama, Animation, Action & Adventure, Crime",https://image.tmdb.org/t/p/w600_and_h900_bestv2/arB3L9pZZBSzUPSC8BEv8c3X0bF.jpg
Miracle Doctor,2019,"Ali was born in a provincial town and was rejected by his father for adoption. Ali with savant syndrome, who grew up in orphanages, graduated from the faculty of medicine with a first degree.",2,112,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ypfoiA298wMAOVPTkB73xJtKTG5.jpg
Invasion,2021,Earth is visited by an alien species that threatens humanity’s existence. Events unfold in real time through the eyes of five ordinary people across the globe as they struggle to make sense of the chaos unraveling around them.,1,10,"Sci-Fi & Fantasy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/7rpiHZx10Nm50AtzTUEO9eyaKdq.jpg
Locked Up,2015,"Set up to take the blame for corporate fraud, young Macarena Ferreiro is locked up in a high-security women's prison surrounded by tough, ruthless criminals in this tense, provocative Spanish thriller.",4,8,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/1kH9u5DkoDUuIlhFFWjz9VSlKhC.jpg
Senora Acero,2014,"The adventures of Vicenta Acero, the feared coyote who now leads the dynasty of illicit dealings once under the control of her father.",5,77,"Drama, Crime, Soap",https://image.tmdb.org/t/p/w600_and_h900_bestv2/vXhBxsvpW2mGuXRbIK5Yazdp8Zg.jpg
Ragnarok,2020,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarök -- unless someone intervenes in time.,2,6,"Sci-Fi & Fantasy, Drama, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/xUtOM1QO4r8w8yeE00QvBdq58N5.jpg
MacGyver,2016,20-something Angus MacGyver creates a clandestine organization where he uses his knack for solving problems in unconventional ways to help prevent disasters from happening.,5,15,"Drama, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/2zAogx9dmSAu2HYxbWzHe4ZaNY5.jpg
Countdown,1982,The clock is ticking as contestants compete in games of lexical dexterity and numerical agility.,85,93,Reality,https://image.tmdb.org/t/p/w600_and_h900_bestv2/dMQxcOLpq0D6TEOZCotxZ3zZv81.jpg
Sonic Boom,2014,"The speedy blue hedgehog Sonic with sidekick Tails and pals Knuckles, Amy and Sticks tries to ward off the evil plans of Dr. Eggman, who is hellbent on taking over the world. Sonic faces regular battles with Eggman's henchmen, including loyal robots Orbot and Cubot, evil interns, and giant, robotic monsters.",2,52,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/ibiGOAzumOIzCk8fHwv03jzYbj9.jpg
One-Punch Man,2015,"Saitama is a hero who only became a hero for fun. After three years of “special” training, though, he’s become so strong that he’s practically invincible. In fact, he’s too strong — even his mightiest opponents are taken out with a single punch, and it turns out that being devastatingly powerful is actually kind of a bore. With his passion for being a hero lost along with his hair, yet still faced with new enemies every day, how much longer can he keep it going?",2,12,"Action & Adventure, Animation, Comedy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/iE3s0lG5QVdEHOEZnoAxjmMtvne.jpg
Magnum P.I.,2018,"Thomas Magnum, a decorated former Navy SEAL who, upon returning home from Afghanistan, repurposes his military skills to become a private investigator in Hawaii taking jobs no one else will with the help of fellow vets T.C. Calvin and Rick Wright, and the former MI:6 agent Higgins.",4,20,Action & Adventure,https://image.tmdb.org/t/p/w600_and_h900_bestv2/wDdiwHqmYN24dXfN7zzDd275NDF.jpg
Gravity Falls,2012,"Twin brother and sister Dipper and Mabel Pines are in for an unexpected adventure when they spend the summer helping their great uncle Stan run a tourist trap in the mysterious town of Gravity Falls, Oregon.",2,20,"Animation, Comedy, Mystery, Sci-Fi & Fantasy, Kids",https://image.tmdb.org/t/p/w600_and_h900_bestv2/dNxEEK5CdNQbp4YcEtICXelRqvP.jpg
Supergirl,2015,"Twenty-four-year-old Kara Zor-El, who was taken in by the Danvers family when she was 13 after being sent away from Krypton, must learn to embrace her powers after previously hiding them. The Danvers teach her to be careful with her powers, until she has to reveal them during an unexpected disaster, setting her on her journey of heroism.",6,20,"Drama, Sci-Fi & Fantasy, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/zsaiq8ZclPuneuN7loLEbsh1ANJ.jpg
Euronews Hoy,2019,We don't have an overview translated in English. Help us expand our database by adding one.,4,110,News,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ujeIjo0GTRbFJcgjhgFZda78A90.jpg
High School DxD,2012,"The story follows Issei Hyōdō, a dim-witted, lecherous second-year high school student who is killed by a girl on his first date ever. Issei is reincarnated as a devil, and from that day forward, he serves as an underling of Riasu, a high-level devil who is also the prettiest girl on Issei's campus.",2,13,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/5a9vaaLDAZTYjgfWIw7ZYhL1m1A.jpg
Marvel's Agents of S.H.I.E.L.D.,2013,"Agent Phil Coulson of S.H.I.E.L.D. (Strategic Homeland Intervention, Enforcement and Logistics Division) puts together a team of agents to investigate the new, the strange and the unknown around the globe, protecting the ordinary from the extraordinary.",7,13,"Drama, Sci-Fi & Fantasy, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/gHUCCMy1vvj58tzE3dZqeC9SXus.jpg
Plus belle la vie,2004,"The daily lives of the inhabitants of ""le Mistral"", an imaginary neighbourhood in the Mediterranean port city of Marseille, where wealthy families cross paths with the less than rich.",18,183,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/hlEsLTndN6IV3F7xRaRw7MwFcWn.jpg
